id,name,nickname,avatar_url
1,"Quaker Valley","Quakers","https://schoolassets.s3.amazonaws.com/logos/26508/26508.png"
2,"Beaver Area HS","Bobcats","https://schoolassets.s3.amazonaws.com/logos/26189/26189.png"
3,"Freedom Area Sr HS","Bulldogs","https://schoolassets.s3.amazonaws.com/logos/1898/1898.png"
4,"Central Valley","Warriors","https://schoolassets.s3.amazonaws.com/logos/1815/1815.png"
5,"Avonworth HS","Antelopes","https://schoolassets.s3.amazonaws.com/logos/26185/26185.png"
6,"Our Lady of the Sacred Heart",,
7,"Montour","Montour","https://schoolassets.s3.amazonaws.com/logos/26371/26371.png"
8,"New Brighton HS",,
9,"Sto-Rox HS",,
10,"Hopewell HS","Vikings","https://schoolassets.s3.amazonaws.com/logos/1968/1968.png"
